event method rate tree multiplier bin count 
ins ma 0.028 tree 1 1.0 14 
ins ma 0.028 tree 1 1.1 19 
ins ma 0.028 tree 1 1.2 7 
ins ma 0.028 tree 1 1.3 9 
ins ma 0.028 tree 1 1.4 7 
ins ma 0.028 tree 1 1.5 2 
ins ma 0.028 tree 1 1.6 3 
ins ma 0.028 tree 1 1.7 0 
ins ma 0.028 tree 1 1.8 0 
ins ma 0.028 tree 1 1.9 0 
ins ma 0.028 tree 1 2.0 0 
del ma 0.028 tree 1 0.0 0 
del ma 0.028 tree 1 0.10 0 
del ma 0.028 tree 1 0.20 0 
del ma 0.028 tree 1 0.30 0 
del ma 0.028 tree 1 0.40 0 
del ma 0.028 tree 1 0.50 2 
del ma 0.028 tree 1 0.60 4 
del ma 0.028 tree 1 0.70 11 
del ma 0.028 tree 1 0.80 14 
del ma 0.028 tree 1 0.90 13 
del ma 0.028 tree 1 1.0 15 
del ma 0.028 tree 1 1.1 20 
del ma 0.028 tree 1 1.2 10 
del ma 0.028 tree 1 1.3 5 
del ma 0.028 tree 1 1.4 2 
del ma 0.028 tree 1 1.5 3 
del ma 0.028 tree 1 1.6 0 
del ma 0.028 tree 1 1.7 0 
del ma 0.028 tree 1 1.8 1 
del ma 0.028 tree 1 1.9 0 
del ma 0.028 tree 1 2.0 0 
ins ma 0.028 tree 2 0.0 0 
ins ma 0.028 tree 2 0.10 0 
ins ma 0.028 tree 2 0.20 0 
ins ma 0.028 tree 2 0.30 0 
ins ma 0.028 tree 2 0.40 0 
ins ma 0.028 tree 2 0.50 1 
ins ma 0.028 tree 2 0.60 1 
ins ma 0.028 tree 2 0.70 7 
ins ma 0.028 tree 2 0.80 15 
ins ma 0.028 tree 2 0.90 21 
ins ma 0.028 tree 2 1.0 31 
ins ma 0.028 tree 2 1.1 15 
ins ma 0.028 tree 2 1.2 4 
ins ma 0.028 tree 2 1.3 3 
ins ma 0.028 tree 2 1.4 2 
ins ma 0.028 tree 2 1.5 0 
ins ma 0.028 tree 2 1.6 0 
ins ma 0.028 tree 2 1.7 0 
ins ma 0.028 tree 2 1.8 0 
ins ma 0.028 tree 2 1.9 0 
ins ma 0.028 tree 2 2.0 0 
del ma 0.028 tree 2 0.0 0 
del ma 0.028 tree 2 0.10 0 
del ma 0.028 tree 2 0.20 0 
del ma 0.028 tree 2 0.30 0 
del ma 0.028 tree 2 0.40 0 
del ma 0.028 tree 2 0.50 1 
del ma 0.028 tree 2 0.60 1 
del ma 0.028 tree 2 0.70 4 
del ma 0.028 tree 2 0.80 16 
del ma 0.028 tree 2 0.90 25 
del ma 0.028 tree 2 1.0 21 
del ma 0.028 tree 2 1.1 15 
del ma 0.028 tree 2 1.2 8 
del ma 0.028 tree 2 1.3 4 
del ma 0.028 tree 2 1.4 5 
del ma 0.028 tree 2 1.5 0 
del ma 0.028 tree 2 1.6 0 
del ma 0.028 tree 2 1.7 0 
del ma 0.028 tree 2 1.8 0 
del ma 0.028 tree 2 1.9 0 
del ma 0.028 tree 2 2.0 0 
ins ma 0.028 tree 5 0.0 0 
ins ma 0.028 tree 5 0.10 0 
ins ma 0.028 tree 5 0.20 0 
ins ma 0.028 tree 5 0.30 0 
ins ma 0.028 tree 5 0.40 0 
ins ma 0.028 tree 5 0.50 0 
ins ma 0.028 tree 5 0.60 2 
ins ma 0.028 tree 5 0.70 11 
ins ma 0.028 tree 5 0.80 27 
ins ma 0.028 tree 5 0.90 24 
ins ma 0.028 tree 5 1.0 23 
ins ma 0.028 tree 5 1.1 12 
ins ma 0.028 tree 5 1.2 1 
ins ma 0.028 tree 5 1.3 0 
ins ma 0.028 tree 5 1.4 0 
ins ma 0.028 tree 5 1.5 0 
ins ma 0.028 tree 5 1.6 0 
ins ma 0.028 tree 5 1.7 0 
ins ma 0.028 tree 5 1.8 0 
ins ma 0.028 tree 5 1.9 0 
ins ma 0.028 tree 5 2.0 0 
del ma 0.028 tree 5 0.0 0 
del ma 0.028 tree 5 0.10 0 
del ma 0.028 tree 5 0.20 0 
del ma 0.028 tree 5 0.30 0 
del ma 0.028 tree 5 0.40 0 
del ma 0.028 tree 5 0.50 0 
del ma 0.028 tree 5 0.60 1 
del ma 0.028 tree 5 0.70 6 
del ma 0.028 tree 5 0.80 20 
del ma 0.028 tree 5 0.90 32 
del ma 0.028 tree 5 1.0 31 
del ma 0.028 tree 5 1.1 9 
del ma 0.028 tree 5 1.2 1 
del ma 0.028 tree 5 1.3 0 
del ma 0.028 tree 5 1.4 0 
del ma 0.028 tree 5 1.5 0 
del ma 0.028 tree 5 1.6 0 
del ma 0.028 tree 5 1.7 0 
del ma 0.028 tree 5 1.8 0 
del ma 0.028 tree 5 1.9 0 
del ma 0.028 tree 5 2.0 0 
ins ma 0.056 sym 2 0.0 0 
ins ma 0.056 sym 2 0.10 0 
ins ma 0.056 sym 2 0.20 0 
ins ma 0.056 sym 2 0.30 0 
ins ma 0.056 sym 2 0.40 0 
ins ma 0.056 sym 2 0.50 0 
ins ma 0.056 sym 2 0.60 1 
ins ma 0.056 sym 2 0.70 1 
ins ma 0.056 sym 2 0.80 24 
ins ma 0.056 sym 2 0.90 23 
ins ma 0.056 sym 2 1.0 30 
ins ma 0.056 sym 2 1.1 16 
ins ma 0.056 sym 2 1.2 4 
ins ma 0.056 sym 2 1.3 1 
ins ma 0.056 sym 2 1.4 0 
ins ma 0.056 sym 2 1.5 0 
ins ma 0.056 sym 2 1.6 0 
ins ma 0.056 sym 2 1.7 0 
ins ma 0.056 sym 2 1.8 0 
ins ma 0.056 sym 2 1.9 0 
ins ma 0.056 sym 2 2.0 0 
del ma 0.056 sym 2 0.0 0 
del ma 0.056 sym 2 0.10 0 
del ma 0.056 sym 2 0.20 0 
del ma 0.056 sym 2 0.30 0 
del ma 0.056 sym 2 0.40 0 
del ma 0.056 sym 2 0.50 0 
del ma 0.056 sym 2 0.60 0 
del ma 0.056 sym 2 0.70 1 
del ma 0.056 sym 2 0.80 16 
del ma 0.056 sym 2 0.90 33 
del ma 0.056 sym 2 1.0 31 
del ma 0.056 sym 2 1.1 15 
del ma 0.056 sym 2 1.2 2 
del ma 0.056 sym 2 1.3 2 
del ma 0.056 sym 2 1.4 0 
del ma 0.056 sym 2 1.5 0 
del ma 0.056 sym 2 1.6 0 
del ma 0.056 sym 2 1.7 0 
del ma 0.056 sym 2 1.8 0 
del ma 0.056 sym 2 1.9 0 
del ma 0.056 sym 2 2.0 0 
ins ma 0.056 sym 5 0.0 0 
ins ma 0.056 sym 5 0.10 0 
ins ma 0.056 sym 5 0.20 0 
ins ma 0.056 sym 5 0.30 0 
ins ma 0.056 sym 5 0.40 0 
ins ma 0.056 sym 5 0.50 0 
ins ma 0.056 sym 5 0.60 0 
ins ma 0.056 sym 5 0.70 1 
ins ma 0.056 sym 5 0.80 19 
ins ma 0.056 sym 5 0.90 52 
ins ma 0.056 sym 5 1.0 24 
ins ma 0.056 sym 5 1.1 4 
ins ma 0.056 sym 5 1.2 0 
ins ma 0.056 sym 5 1.3 0 
ins ma 0.056 sym 5 1.4 0 
ins ma 0.056 sym 5 1.5 0 
ins ma 0.056 sym 5 1.6 0 
ins ma 0.056 sym 5 1.7 0 
ins ma 0.056 sym 5 1.8 0 
ins ma 0.056 sym 5 1.9 0 
ins ma 0.056 sym 5 2.0 0 
del ma 0.056 sym 5 0.0 0 
del ma 0.056 sym 5 0.10 0 
del ma 0.056 sym 5 0.20 0 
del ma 0.056 sym 5 0.30 0 
