event method rate tree multiplier bin count
del histref 0.028 sym 2 0.764147 0.8965960000000001 1.031134
ins histref 0.028 sym 5 0.8000428571428572 0.965152 1.12497
del histref 0.028 sym 5 0.685158 0.8530571428571428 1.00752
ins histref 0.028 tree 1 0.8096310000000001 0.9707159999999999 1.1368321428571428
del histref 0.028 tree 1 0.699136 0.867912 1.021412
ins histref 0.028 tree 2 0.8088749999999999 0.956188 1.1095499999999998
del histref 0.028 tree 2 0.7129071428571429 0.869048 1.0199749999999999
ins histref 0.028 tree 5 0.771155 0.9294180000000001 1.084166
del histref 0.028 tree 5 0.690549 0.8457071428571429 1.001918
ins histref 0.056 sym 2 0.771155 0.9166099999999999 1.065874
del histref 0.056 sym 2 0.6755035714285714 0.8188279999999999 0.9831392857142858
ins histref 0.056 sym 5 0.7348428571428571 0.8942785714285715 1.04509
del histref 0.056 sym 5 0.6283624999999999 0.7960250000000001 0.9626839999999999
ins histref 0.056 tree 2 0.7299642857142856 0.877825 1.031112
del histref 0.056 tree 2 0.6413375 0.7907142857142857 0.9527928571428571
ins histref 0.056 tree 5 0.6885964285714286 0.8540607142857143 1.0178767857142856
del histref 0.056 tree 5 0.59165 0.765958 0.935025
ins histslow 0.005 sym 5 0.8965759999999999 1.037782 1.236368
del histslow 0.005 sym 5 0.840058 1.085626 1.2663119999999999
ins histslow 0.005 tree 5 0.939514 1.1264679999999998 1.397224
del histslow 0.005 tree 5 0.9165059999999999 1.153042 1.332104
ins histslow 0.01 sym 5 0.918614 1.07371 1.2771299999999999
del histslow 0.01 sym 5 0.8994200000000001 1.072732 1.2530219999999999
ins histslow 0.01 tree 5 0.928923 1.07131 1.236368
del histslow 0.01 tree 5 0.911382 1.071416 1.225714
ins histslow 0.028 sym 1 0.899467857142857 1.0568392857142856 1.220904
del histslow 0.028 sym 1 0.890814 1.056162 1.2248607142857144
ins histslow 0.028 sym 2 0.8986179999999999 1.02873 1.1947285714285714
del histslow 0.028 sym 2 0.87966 1.0319 1.19505
ins histslow 0.028 sym 5 0.8497199999999999 0.990046 1.1578039999999998
del histslow 0.028 sym 5 0.79935 0.992519 1.170248
ins histslow 0.028 tree 1 0.8561464285714285 0.9955179999999999 1.1699035714285715
del histslow 0.028 tree 1 0.799757 0.992519 1.1619000000000002
ins histslow 0.028 tree 2 0.8542321428571428 0.990046 1.149204
del histslow 0.028 tree 2 0.8156607142857143 0.9877449999999999 1.15271
